Freq_GHz	r_meas	x_meas	r_fit	x_fit	R_meas_ohm	X_meas_ohm	R_fit_ohm	X_fit_ohm
9.40765	0.0737338	-1.40048	0.107332	-1.39146	3.68669	-70.024	5.36658	-69.5728
9.6076	0.0743569	-1.36253	0.10733	-1.35245	3.71785	-68.1265	5.3665	-67.6224
9.80755	0.0767997	-1.32697	0.107328	-1.31482	3.83999	-66.3486	5.36641	-65.7411
10.0075	0.0744716	-1.29167	0.107326	-1.2785	3.72358	-64.5837	5.36632	-63.9249
10.2074	0.0773872	-1.25575	0.107325	-1.2434	3.86936	-62.7876	5.36623	-62.1699
10.4074	0.0759928	-1.2238	0.107323	-1.20945	3.79964	-61.19	5.36614	-60.4725
10.6074	0.078043	-1.19653	0.107321	-1.17659	3.90215	-59.8264	5.36605	-58.8296
10.8073	0.0768429	-1.16633	0.107319	-1.14476	3.84215	-58.3167	5.36596	-57.2381
11.0073	0.0760475	-1.13712	0.107317	-1.1139	3.80238	-56.856	5.36586	-55.6951
11.2072	0.0769413	-1.10808	0.107315	-1.08396	3.84707	-55.4041	5.36576	-54.1982
11.4071	0.0778643	-1.08115	0.107313	-1.0549	3.89321	-54.0576	5.36567	-52.7448
11.6071	0.0778148	-1.05264	0.107311	-1.02666	3.89074	-52.6318	5.36556	-51.3328
11.8071	0.0770569	-1.02855	0.107309	-0.999199	3.85285	-51.4275	5.36546	-49.96
12.007	0.0779131	-0.998987	0.107307	-0.972488	3.89565	-49.9494	5.36536	-48.6244
12.207	0.0768129	-0.975938	0.107305	-0.946486	3.84065	-48.7969	5.36525	-47.3243
12.4069	0.0771	-0.950352	0.107303	-0.921158	3.855	-47.5176	5.36514	-46.0579
12.6068	0.0773694	-0.93066	0.107301	-0.896472	3.86847	-46.533	5.36503	-44.8236
12.8068	0.0782841	-0.9053	0.107298	-0.872399	3.9142	-45.265	5.36492	-43.62
