Freq_GHz	Norm_dB_model_sat
12.0684	-1.06049
12.0784	-1.06235
12.0884	-1.0642
12.0984	-1.06606
12.1083	-1.06792
12.1183	-1.06978
12.1283	-1.07164
12.1383	-1.0735
12.1483	-1.07537
12.1583	-1.07723
12.1682	-1.0791
12.1782	-1.08097
12.1882	-1.08285
12.1982	-1.08472
12.2082	-1.0866
12.2181	-1.08848
12.2281	-1.09036
12.2381	-1.09224
12.2481	-1.09412
12.2581	-1.09601
12.2681	-1.09789
12.278	-1.09978
12.288	-1.10167
12.298	-1.10357
12.308	-1.10546
12.318	-1.10736
12.3279	-1.10926
12.3379	-1.11116
12.3479	-1.11306
12.3579	-1.11496
12.3679	-1.11687
12.3779	-1.11877
12.3878	-1.12068
