Freq_GHz	Norm_dB_model_vE
11.729	-1.0028
11.739	-1.00459
11.749	-1.0064
11.759	-1.0082
11.769	-1.01
11.7789	-1.01181
11.7889	-1.01362
11.7989	-1.01543
11.8089	-1.01724
11.8189	-1.01905
11.8288	-1.02087
11.8388	-1.02268
11.8488	-1.0245
11.8588	-1.02632
11.8688	-1.02815
11.8788	-1.02997
11.8887	-1.0318
11.8987	-1.03362
11.9087	-1.03545
11.9187	-1.03729
11.9287	-1.03912
11.9386	-1.04095
11.9486	-1.04279
11.9586	-1.04463
11.9686	-1.04647
11.9786	-1.04831
11.9886	-1.05016
11.9985	-1.052
12.0085	-1.05385
12.0185	-1.0557
12.0285	-1.05755
12.0385	-1.0594
12.0484	-1.06126
12.0584	-1.06312
12.0684	-1.06497
12.0784	-1.06684
12.0884	-1.0687
12.0984	-1.07056
12.1083	-1.07243
12.1183	-1.07429
12.1283	-1.07616
12.1383	-1.07804
12.1483	-1.07991
12.1583	-1.08178
12.1682	-1.08366
12.1782	-1.08554
12.1882	-1.08742
12.1982	-1.0893
12.2082	-1.09118
12.2181	-1.09307
12.2281	-1.09496
12.2381	-1.09685
12.2481	-1.09874
12.2581	-1.10063
12.2681	-1.10253
12.278	-1.10442
12.288	-1.10632
12.298	-1.10822
12.308	-1.11012
12.318	-1.11203
12.3279	-1.11393
12.3379	-1.11584
12.3479	-1.11775
12.3579	-1.11966
12.3679	-1.12157
12.3779	-1.12349
12.3878	-1.12541
12.3978	-1.12732
