Freq_GHz	Norm_dB_model_hole
9.54297	-0.141206
9.55295	-0.141516
9.56293	-0.141826
9.57291	-0.142136
9.5829	-0.142447
9.59288	-0.142759
9.60286	-0.14307
9.61284	-0.143382
9.62282	-0.143695
9.63281	-0.144008
9.64279	-0.144321
9.65277	-0.144635
9.66275	-0.144949
9.67273	-0.145263
9.68272	-0.145578
9.6927	-0.145893
9.70268	-0.146208
9.71266	-0.146524
9.72264	-0.146841
9.73263	-0.147157
9.74261	-0.147475
9.75259	-0.147792
9.76257	-0.14811
9.77255	-0.148428
9.78254	-0.148747
9.79252	-0.149066
9.8025	-0.149385
9.81248	-0.149705
9.82246	-0.150026
9.83245	-0.150346
9.84243	-0.150667
9.85241	-0.150989
9.86239	-0.15131
9.87237	-0.151633
9.88236	-0.151955
9.89234	-0.152278
9.90232	-0.152602
9.9123	-0.152925
9.92228	-0.15325
9.93227	-0.153574
9.94225	-0.153899
9.95223	-0.154224
9.96221	-0.15455
9.97219	-0.154876
9.98218	-0.155203
9.99216	-0.15553
10.0021	-0.155857
10.0121	-0.156185
10.0221	-0.156513
10.0321	-0.156842
10.0421	-0.15717
10.0521	-0.1575
10.062	-0.157829
10.072	-0.15816
10.082	-0.15849
10.092	-0.158821
10.102	-0.159152
10.1119	-0.159484
10.1219	-0.159816
10.1319	-0.160149
10.1419	-0.160482
10.1519	-0.160815
10.1619	-0.161149
10.1718	-0.161483
10.1818	-0.161817
10.1918	-0.162152
10.2018	-0.162487
10.2118	-0.162823
10.2217	-0.163159
10.2317	-0.163496
10.2417	-0.163833
10.2517	-0.16417
10.2617	-0.164508
10.2717	-0.164846
10.2816	-0.165184
10.2916	-0.165523
10.3016	-0.165862
10.3116	-0.166202
10.3216	-0.166542
10.3315	-0.166883
10.3415	-0.167224
10.3515	-0.167565
10.3615	-0.167907
10.3715	-0.168249
10.3815	-0.168591
10.3914	-0.168934
10.4014	-0.169278
10.4114	-0.169622
10.4214	-0.169966
10.4314	-0.17031
10.4413	-0.170655
10.4513	-0.171001
10.4613	-0.171346
10.4713	-0.171693
10.4813	-0.172039
10.4913	-0.172386
10.5012	-0.172734
10.5112	-0.173082
